duelist_id,duelist,position,card_id,card,rate,card_url
3,Jono,6,167,Ancient Jar,3.52%,https://yugioh-fm-db.pages.dev/cards/167
3,Jono,7,192,Key Mace,5.86%,https://yugioh-fm-db.pages.dev/cards/192
3,Jono,8,289,Change Slime,5.86%,https://yugioh-fm-db.pages.dev/cards/289
3,Jono,9,387,Mystic Lamp,5.86%,https://yugioh-fm-db.pages.dev/cards/387
3,Jono,10,504,Fungi of the Musk,5.86%,https://yugioh-fm-db.pages.dev/cards/504
3,Jono,11,548,Bone Mouse,5.86%,https://yugioh-fm-db.pages.dev/cards/548
3,Jono,12,558,Pot the Trick,3.52%,https://yugioh-fm-db.pages.dev/cards/558
3,Jono,13,547,Griggle,5.86%,https://yugioh-fm-db.pages.dev/cards/547
3,Jono,14,635,Queen's Double,5.86%,https://yugioh-fm-db.pages.dev/cards/635
3,Jono,15,123,Dark Plant,5.86%,https://yugioh-fm-db.pages.dev/cards/123
3,Jono,16,397,Leghul,5.86%,https://yugioh-fm-db.pages.dev/cards/397
3,Jono,17,411,Bat,5.86%,https://yugioh-fm-db.pages.dev/cards/411
3,Jono,18,428,Magician of Faith,5.86%,https://yugioh-fm-db.pages.dev/cards/428
3,Jono,19,469,Armed Ninja,3.52%,https://yugioh-fm-db.pages.dev/cards/469
3,Jono,20,484,Ameba,5.86%,https://yugioh-fm-db.pages.dev/cards/484
3,Jono,21,402,Monster Eye,3.52%,https://yugioh-fm-db.pages.dev/cards/402
3,Jono,22,339,Red Medicine,3.52%,https://yugioh-fm-db.pages.dev/cards/339
3,Jono,23,344,Hinotama,5.86%,https://yugioh-fm-db.pages.dev/cards/344
1,Simon Muran,1,21,Exodia the Forbidden,0.05%,https://yugioh-fm-db.pages.dev/cards/21
1,Simon Muran,2,9,Shadow Specter,3.52%,https://yugioh-fm-db.pages.dev/cards/9
1,Simon Muran,3,167,Ancient Jar,3.91%,https://yugioh-fm-db.pages.dev/cards/167
1,Simon Muran,4,192,Key Mace,3.52%,https://yugioh-fm-db.pages.dev/cards/192
1,Simon Muran,5,289,Change Slime,3.52%,https://yugioh-fm-db.pages.dev/cards/289
1,Simon Muran,6,387,Mystic Lamp,3.52%,https://yugioh-fm-db.pages.dev/cards/387
1,Simon Muran,7,504,Fungi of the Musk,3.52%,https://yugioh-fm-db.pages.dev/cards/504
1,Simon Muran,8,548,Bone Mouse,3.52%,https://yugioh-fm-db.pages.dev/cards/548
1,Simon Muran,9,547,Griggle,3.91%,https://yugioh-fm-db.pages.dev/cards/547
1,Simon Muran,10,635,Queen's Double,3.91%,https://yugioh-fm-db.pages.dev/cards/635
1,Simon Muran,11,24,Skull Servant,3.52%,https://yugioh-fm-db.pages.dev/cards/24
1,Simon Muran,12,58,Kuriboh,3.52%,https://yugioh-fm-db.pages.dev/cards/58
1,Simon Muran,13,123,Dark Plant,3.52%,https://yugioh-fm-db.pages.dev/cards/123
1,Simon Muran,14,395,Dancing Elf,3.52%,https://yugioh-fm-db.pages.dev/cards/395
1,Simon Muran,15,397,Leghul,3.42%,https://yugioh-fm-db.pages.dev/cards/397
1,Simon Muran,16,398,Ooguchi,3.91%,https://yugioh-fm-db.pages.dev/cards/398
1,Simon Muran,17,411,Bat,3.91%,https://yugioh-fm-db.pages.dev/cards/411
1,Simon Muran,18,428,Magician of Faith,3.66%,https://yugioh-fm-db.pages.dev/cards/428
1,Simon Muran,19,469,Armed Ninja,3.91%,https://yugioh-fm-db.pages.dev/cards/469
1,Simon Muran,20,475,Sinister Serpent,3.91%,https://yugioh-fm-db.pages.dev/cards/475
1,Simon Muran,21,484,Ameba,3.91%,https://yugioh-fm-db.pages.dev/cards/484
1,Simon Muran,22,527,Milus Radiant,3.91%,https://yugioh-fm-db.pages.dev/cards/527
1,Simon Muran,23,394,Steel Scorpion,3.91%,https://yugioh-fm-db.pages.dev/cards/394
1,Simon Muran,24,399,Swordsman from a Foreign Land,3.42%,https://yugioh-fm-db.pages.dev/cards/399
1,Simon Muran,25,402,Monster Eye,3.91%,https://yugioh-fm-db.pages.dev/cards/402
1,Simon Muran,26,499,Kattapillar,3.91%,https://yugioh-fm-db.pages.dev/cards/499
1,Simon Muran,27,17,Right Leg of the Forbidden One,0.05%,https://yugioh-fm-db.pages.dev/cards/17
1,Simon Muran,28,18,Left Leg of the Forbidden One,0.05%,https://yugioh-fm-db.pages.dev/cards/18
1,Simon Muran,29,19,Right Arm of the Forbidden One,0.05%,https://yugioh-fm-db.pages.dev/cards/19
1,Simon Muran,30,20,Left Arm of the Forbidden One,0.05%,https://yugioh-fm-db.pages.dev/cards/20
1,Simon Muran,31,338,Mooyan Curry,2.34%,https://yugioh-fm-db.pages.dev/cards/338
1,Simon Muran,32,343,Sparks,4.88%,https://yugioh-fm-db.pages.dev/cards/343
10,Weevil Underwood,1,367,Jirai Gumo,2.34%,https://yugioh-fm-db.pages.dev/cards/367
10,Weevil Underwood,2,60,Great White,0.39%,https://yugioh-fm-db.pages.dev/cards/60
10,Weevil Underwood,3,234,Beautiful Headhuntress,0.39%,https://yugioh-fm-db.pages.dev/cards/234
10,Weevil Underwood,4,599,Violent Rain,0.59%,https://yugioh-fm-db.pages.dev/cards/599
10,Weevil Underwood,5,10,Blackland Fire Dragon,0.78%,https://yugioh-fm-db.pages.dev/cards/10
10,Weevil Underwood,6,80,Uraby,0.59%,https://yugioh-fm-db.pages.dev/cards/80
10,Weevil Underwood,7,647,Hyosube,0.39%,https://yugioh-fm-db.pages.dev/cards/647
10,Weevil Underwood,8,23,The Wicked Worm Beast,0.78%,https://yugioh-fm-db.pages.dev/cards/23
10,Weevil Underwood,9,165,The Judgement Hand,0.59%,https://yugioh-fm-db.pages.dev/cards/165
10,Weevil Underwood,10,225,Fiend Sword,0.78%,https://yugioh-fm-db.pages.dev/cards/225
10,Weevil Underwood,11,363,Fairy's Gift,0.39%,https://yugioh-fm-db.pages.dev/cards/363
10,Weevil Underwood,12,430,Water Magician,0.39%,https://yugioh-fm-db.pages.dev/cards/430
10,Weevil Underwood,13,543,Tongyo,0.78%,https://yugioh-fm-db.pages.dev/cards/543
10,Weevil Underwood,14,550,Behegon,0.59%,https://yugioh-fm-db.pages.dev/cards/550
10,Weevil Underwood,15,643,Disk Magician,0.59%,https://yugioh-fm-db.pages.dev/cards/643
10,Weevil Underwood,16,25,Horn Imp,0.78%,https://yugioh-fm-db.pages.dev/cards/25
10,Weevil Underwood,17,64,Tiger Axe,0.39%,https://yugioh-fm-db.pages.dev/cards/64
10,Weevil Underwood,18,115,Kamion Wizard,0.39%,https://yugioh-fm-db.pages.dev/cards/115
10,Weevil Underwood,19,119,Trial of Nightmares,0.78%,https://yugioh-fm-db.pages.dev/cards/119
10,Weevil Underwood,20,164,Lord of Zemia,0.59%,https://yugioh-fm-db.pages.dev/cards/164
10,Weevil Underwood,21,233,Dark Titan of Terror,0.39%,https://yugioh-fm-db.pages.dev/cards/233
10,Weevil Underwood,22,272,Mavelus,0.78%,https://yugioh-fm-db.pages.dev/cards/272
10,Weevil Underwood,23,291,Fireyarou,0.59%,https://yugioh-fm-db.pages.dev/cards/291
10,Weevil Underwood,24,445,Guardian of the Sea,0.59%,https://yugioh-fm-db.pages.dev/cards/445
10,Weevil Underwood,25,502,D. Human,0.39%,https://yugioh-fm-db.pages.dev/cards/502
10,Weevil Underwood,26,514,Brave Scizzar,0.59%,https://yugioh-fm-db.pages.dev/cards/514
10,Weevil Underwood,27,570,Trakadon,0.59%,https://yugioh-fm-db.pages.dev/cards/570
10,Weevil Underwood,28,608,Shining Friendship,0.39%,https://yugioh-fm-db.pages.dev/cards/608
10,Weevil Underwood,29,646,Gruesome Goo,0.39%,https://yugioh-fm-db.pages.dev/cards/646
10,Weevil Underwood,30,162,Tainted Wisdom,0.59%,https://yugioh-fm-db.pages.dev/cards/162
10,Weevil Underwood,31,435,Water Girl,0.78%,https://yugioh-fm-db.pages.dev/cards/435
10,Weevil Underwood,32,480,Kuwagata a,2.34%,https://yugioh-fm-db.pages.dev/cards/480
10,Weevil Underwood,33,546,Wow Warrior,0.78%,https://yugioh-fm-db.pages.dev/cards/546
10,Weevil Underwood,34,553,Mushroom Man #2,0.59%,https://yugioh-fm-db.pages.dev/cards/553
10,Weevil Underwood,35,3,Hitotsu-me Giant,0.78%,https://yugioh-fm-db.pages.dev/cards/3
10,Weevil Underwood,36,30,Zombie Warrior,0.59%,https://yugioh-fm-db.pages.dev/cards/30
10,Weevil Underwood,37,53,Killer Needle,3.52%,https://yugioh-fm-db.pages.dev/cards/53
10,Weevil Underwood,38,59,Mammoth Graveyard,0.39%,https://yugioh-fm-db.pages.dev/cards/59
10,Weevil Underwood,39,61,Wolf,0.39%,https://yugioh-fm-db.pages.dev/cards/61
10,Weevil Underwood,40,65,Silver Fang,0.39%,https://yugioh-fm-db.pages.dev/cards/65
10,Weevil Underwood,41,109,Goddess with the Third Eye,0.78%,https://yugioh-fm-db.pages.dev/cards/109
10,Weevil Underwood,42,112,That Which Feeds on Life,0.78%,https://yugioh-fm-db.pages.dev/cards/112
10,Weevil Underwood,43,120,Dream Clown,0.59%,https://yugioh-fm-db.pages.dev/cards/120
10,Weevil Underwood,44,132,The 13th Grave,0.59%,https://yugioh-fm-db.pages.dev/cards/132
10,Weevil Underwood,45,169,Dark King of the Abyss,0.39%,https://yugioh-fm-db.pages.dev/cards/169
10,Weevil Underwood,46,171,Big Eye,0.78%,https://yugioh-fm-db.pages.dev/cards/171
10,Weevil Underwood,47,201,Frenzied Panda,0.78%,https://yugioh-fm-db.pages.dev/cards/201
10,Weevil Underwood,48,241,Dark Assailant,0.39%,https://yugioh-fm-db.pages.dev/cards/241
10,Weevil Underwood,49,248,Master & Expert,0.78%,https://yugioh-fm-db.pages.dev/cards/248
10,Weevil Underwood,50,251,Enchanting Mermaid,0.59%,https://yugioh-fm-db.pages.dev/cards/251
10,Weevil Underwood,51,256,Dimensional Warrior,0.78%,https://yugioh-fm-db.pages.dev/cards/256
10,Weevil Underwood,52,284,Tao the Chanter,0.59%,https://yugioh-fm-db.pages.dev/cards/284
10,Weevil Underwood,53,294,Dragoness the Wicked Knight,0.59%,https://yugioh-fm-db.pages.dev/cards/294
10,Weevil Underwood,54,299,Sonic Maid,0.59%,https://yugioh-fm-db.pages.dev/cards/299
10,Weevil Underwood,55,354,Stuffed Animal,0.59%,https://yugioh-fm-db.pages.dev/cards/354
10,Weevil Underwood,56,361,Flying Penguin,0.78%,https://yugioh-fm-db.pages.dev/cards/361
10,Weevil Underwood,57,450,Kappa Avenger,0.59%,https://yugioh-fm-db.pages.dev/cards/450
10,Weevil Underwood,58,457,Stone Ghost,0.78%,https://yugioh-fm-db.pages.dev/cards/457
10,Weevil Underwood,59,552,Winged Dragon #2,0.78%,https://yugioh-fm-db.pages.dev/cards/552
10,Weevil Underwood,60,561,Lesser Dragon,0.78%,https://yugioh-fm-db.pages.dev/cards/561
10,Weevil Underwood,61,566,Yormungarde,0.59%,https://yugioh-fm-db.pages.dev/cards/566
10,Weevil Underwood,62,567,Darkworld Thorns,2.34%,https://yugioh-fm-db.pages.dev/cards/567
10,Weevil Underwood,63,431,Ice Water,0.59%,https://yugioh-fm-db.pages.dev/cards/431
10,Weevil Underwood,64,642,Mystical Sheep #1,0.59%,https://yugioh-fm-db.pages.dev/cards/642
10,Weevil Underwood,65,76,Krokodilus,0.59%,https://yugioh-fm-db.pages.dev/cards/76
10,Weevil Underwood,66,110,Hero of the East,0.59%,https://yugioh-fm-db.pages.dev/cards/110
10,Weevil Underwood,67,138,Dragon Statue,0.39%,https://yugioh-fm-db.pages.dev/cards/138
10,Weevil Underwood,68,246,One Who Hunts Souls,0.59%,https://yugioh-fm-db.pages.dev/cards/246
10,Weevil Underwood,69,252,Nekogal #1,0.39%,https://yugioh-fm-db.pages.dev/cards/252
10,Weevil Underwood,70,269,Versago the Destroyer,0.39%,https://yugioh-fm-db.pages.dev/cards/269
10,Weevil Underwood,71,290,Moon Envoy,0.59%,https://yugioh-fm-db.pages.dev/cards/290
10,Weevil Underwood,72,293,Masaki the Legendary Swordsman,0.78%,https://yugioh-fm-db.pages.dev/cards/293
10,Weevil Underwood,73,474,Sea Kamen,0.39%,https://yugioh-fm-db.pages.dev/cards/474
10,Weevil Underwood,74,489,Barrel Lily,0.05%,https://yugioh-fm-db.pages.dev/cards/489
10,Weevil Underwood,75,574,Witch of the Black Forest,0.59%,https://yugioh-fm-db.pages.dev/cards/574
10,Weevil Underwood,76,576,Giant Scorpion of the Tundra,2.34%,https://yugioh-fm-db.pages.dev/cards/576
10,Weevil Underwood,77,580,Patrol Robo,0.39%,https://yugioh-fm-db.pages.dev/cards/580
10,Weevil Underwood,78,603,Fairy Dragon,0.59%,https://yugioh-fm-db.pages.dev/cards/603
10,Weevil Underwood,79,616,Hourglass of Courage,0.59%,https://yugioh-fm-db.pages.dev/cards/616
10,Weevil Underwood,80,219,Solitude,0.59%,https://yugioh-fm-db.pages.dev/cards/219
10,Weevil Underwood,81,600,Key Mace #2,0.78%,https://yugioh-fm-db.pages.dev/cards/600
10,Weevil Underwood,82,118,Supporter in the Shadows,0.39%,https://yugioh-fm-db.pages.dev/cards/118
10,Weevil Underwood,83,140,Toad Master,0.39%,https://yugioh-fm-db.pages.dev/cards/140
10,Weevil Underwood,84,181,Dark Shade,0.39%,https://yugioh-fm-db.pages.dev/cards/181
10,Weevil Underwood,85,196,Arma Knight,0.78%,https://yugioh-fm-db.pages.dev/cards/196
10,Weevil Underwood,86,236,Guardian of the Labyrinth,0.78%,https://yugioh-fm-db.pages.dev/cards/236
10,Weevil Underwood,87,258,Beastking of the Swamps,0.59%,https://yugioh-fm-db.pages.dev/cards/258
10,Weevil Underwood,88,259,Ancient Sorcerer,0.59%,https://yugioh-fm-db.pages.dev/cards/259
10,Weevil Underwood,89,276,Ray & Temperature,0.39%,https://yugioh-fm-db.pages.dev/cards/276
10,Weevil Underwood,90,406,Yaiba Robo,0.59%,https://yugioh-fm-db.pages.dev/cards/406
10,Weevil Underwood,91,455,Barrel Rock,0.59%,https://yugioh-fm-db.pages.dev/cards/455
10,Weevil Underwood,92,478,Insect Soldiers of the Sky,0.10%,https://yugioh-fm-db.pages.dev/cards/478
10,Weevil Underwood,93,496,Wilmee,0.78%,https://yugioh-fm-db.pages.dev/cards/496
10,Weevil Underwood,94,584,Binding Chain,0.59%,https://yugioh-fm-db.pages.dev/cards/584
10,Weevil Underwood,95,620,Snakeyashi,2.34%,https://yugioh-fm-db.pages.dev/cards/620
10,Weevil Underwood,96,477,Alinsection,0.05%,https://yugioh-fm-db.pages.dev/cards/477
10,Weevil Underwood,97,560,Invader from Another Dimension,0.59%,https://yugioh-fm-db.pages.dev/cards/560
10,Weevil Underwood,98,629,Armored Rat,0.59%,https://yugioh-fm-db.pages.dev/cards/629
10,Weevil Underwood,99,116,Nightmare Scorpion,0.05%,https://yugioh-fm-db.pages.dev/cards/116
10,Weevil Underwood,100,146,Temple of Skulls,0.78%,https://yugioh-fm-db.pages.dev/cards/146
10,Weevil Underwood,101,153,Dokuroizo the Grim Reaper,0.59%,https://yugioh-fm-db.pages.dev/cards/153
10,Weevil Underwood,102,220,Masked Sorcerer,0.59%,https://yugioh-fm-db.pages.dev/cards/220
10,Weevil Underwood,103,235,Wodan the Resident of the Forest,0.59%,https://yugioh-fm-db.pages.dev/cards/235
10,Weevil Underwood,104,414,Shovel Crusher,0.59%,https://yugioh-fm-db.pages.dev/cards/414
10,Weevil Underwood,105,510,Laughing Flower,0.05%,https://yugioh-fm-db.pages.dev/cards/510
10,Weevil Underwood,106,588,Living Vase,1.17%,https://yugioh-fm-db.pages.dev/cards/588
10,Weevil Underwood,107,640,Acid Crawler,0.05%,https://yugioh-fm-db.pages.dev/cards/640
10,Weevil Underwood,108,534,Minar,0.05%,https://yugioh-fm-db.pages.dev/cards/534
10,Weevil Underwood,109,615,Armored Starfish,0.78%,https://yugioh-fm-db.pages.dev/cards/615
10,Weevil Underwood,110,8,Mushroom Man,0.05%,https://yugioh-fm-db.pages.dev/cards/8
10,Weevil Underwood,111,28,Rock Ogre Grotto #1,0.39%,https://yugioh-fm-db.pages.dev/cards/28
10,Weevil Underwood,112,75,Man-eating Plant,0.05%,https://yugioh-fm-db.pages.dev/cards/75
10,Weevil Underwood,113,103,Job-change Mirror,0.59%,https://yugioh-fm-db.pages.dev/cards/103
10,Weevil Underwood,114,158,Man Eater,0.05%,https://yugioh-fm-db.pages.dev/cards/158
10,Weevil Underwood,115,180,Arlownay,0.10%,https://yugioh-fm-db.pages.dev/cards/180
10,Weevil Underwood,116,231,Wood Clown,0.39%,https://yugioh-fm-db.pages.dev/cards/231
10,Weevil Underwood,117,238,Yashinoki,0.05%,https://yugioh-fm-db.pages.dev/cards/238
10,Weevil Underwood,118,250,Hyo,0.39%,https://yugioh-fm-db.pages.dev/cards/250
10,Weevil Underwood,119,257,Stone Armadiller,0.39%,https://yugioh-fm-db.pages.dev/cards/257
10,Weevil Underwood,120,262,The Little Swordsman of Aile,0.59%,https://yugioh-fm-db.pages.dev/cards/262
10,Weevil Underwood,121,280,Protector of the Throne,0.59%,https://yugioh-fm-db.pages.dev/cards/280
10,Weevil Underwood,122,381,Toon Alligator,0.39%,https://yugioh-fm-db.pages.dev/cards/381
10,Weevil Underwood,123,479,Cockroach Knight,0.05%,https://yugioh-fm-db.pages.dev/cards/479
10,Weevil Underwood,124,562,Needle Worm,0.05%,https://yugioh-fm-db.pages.dev/cards/562
10,Weevil Underwood,125,579,Abyss Flower,0.05%,https://yugioh-fm-db.pages.dev/cards/579
10,Weevil Underwood,126,121,Sleeping Lion,0.39%,https://yugioh-fm-db.pages.dev/cards/121
10,Weevil Underwood,127,141,Spiked Snail,1.17%,https://yugioh-fm-db.pages.dev/cards/141
10,Weevil Underwood,128,157,Firegrass,0.05%,https://yugioh-fm-db.pages.dev/cards/157
10,Weevil Underwood,129,172,Armaill,0.39%,https://yugioh-fm-db.pages.dev/cards/172
10,Weevil Underwood,130,209,Winged Cleaver,0.05%,https://yugioh-fm-db.pages.dev/cards/209
10,Weevil Underwood,131,221,Kumootoko,2.34%,https://yugioh-fm-db.pages.dev/cards/221
10,Weevil Underwood,132,263,Rock Ogre Grotto #2,0.59%,https://yugioh-fm-db.pages.dev/cards/263
10,Weevil Underwood,133,296,One-eyed Shield Dragon,0.39%,https://yugioh-fm-db.pages.dev/cards/296
10,Weevil Underwood,134,601,Tenderness,0.59%,https://yugioh-fm-db.pages.dev/cards/601
10,Weevil Underwood,135,506,Gale Dogra,0.05%,https://yugioh-fm-db.pages.dev/cards/506
10,Weevil Underwood,136,34,Saggi the Dark Clown,0.59%,https://yugioh-fm-db.pages.dev/cards/34
10,Weevil Underwood,137,273,Ancient Tree of Enlightenment,2.34%,https://yugioh-fm-db.pages.dev/cards/273
10,Weevil Underwood,138,288,Dark Artist,0.39%,https://yugioh-fm-db.pages.dev/cards/288
10,Weevil Underwood,139,476,Ganigumo,0.05%,https://yugioh-fm-db.pages.dev/cards/476
10,Weevil Underwood,140,609,Bladefly,0.05%,https://yugioh-fm-db.pages.dev/cards/609
10,Weevil Underwood,141,485,Korogashi,0.05%,https://yugioh-fm-db.pages.dev/cards/485
10,Weevil Underwood,142,50,Basic Insect,0.05%,https://yugioh-fm-db.pages.dev/cards/50
10,Weevil Underwood,143,56,Larvae Moth,1.56%,https://yugioh-fm-db.pages.dev/cards/56
10,Weevil Underwood,144,274,Green Phantom King,2.34%,https://yugioh-fm-db.pages.dev/cards/274
10,Weevil Underwood,145,589,Tentacle Plant,0.05%,https://yugioh-fm-db.pages.dev/cards/589
10,Weevil Underwood,146,501,Man-eater Bug,0.05%,https://yugioh-fm-db.pages.dev/cards/501
10,Weevil Underwood,147,488,Rainbow Flower,0.05%,https://yugioh-fm-db.pages.dev/cards/488
10,Weevil Underwood,148,547,Griggle,0.05%,https://yugioh-fm-db.pages.dev/cards/547
10,Weevil Underwood,149,123,Dark Plant,0.05%,https://yugioh-fm-db.pages.dev/cards/123
10,Weevil Underwood,150,278,Petit Moth,0.05%,https://yugioh-fm-db.pages.dev/cards/278
10,Weevil Underwood,151,397,Leghul,0.05%,https://yugioh-fm-db.pages.dev/cards/397
10,Weevil Underwood,152,499,Kattapillar,0.05%,https://yugioh-fm-db.pages.dev/cards/499
10,Weevil Underwood,153,40,Dragon Piper,0.39%,https://yugioh-fm-db.pages.dev/cards/40
10,Weevil Underwood,154,72,Cocoon of Evolution,1.56%,https://yugioh-fm-db.pages.dev/cards/72
10,Weevil Underwood,155,305,Laser Cannon Armor,2.44%,https://yugioh-fm-db.pages.dev/cards/305
10,Weevil Underwood,156,306,Insect Armor with Laser Cannon,2.44%,https://yugioh-fm-db.pages.dev/cards/306
10,Weevil Underwood,157,330,Forest,2.34%,https://yugioh-fm-db.pages.dev/cards/330
6,Villager3,1,367,Jirai Gumo,0.05%,https://yugioh-fm-db.pages.dev/cards/367
6,Villager3,2,97,Dragon Zombie,0.98%,https://yugioh-fm-db.pages.dev/cards/97
6,Villager3,3,599,Violent Rain,0.05%,https://yugioh-fm-db.pages.dev/cards/599
6,Villager3,4,96,Armored Zombie,0.20%,https://yugioh-fm-db.pages.dev/cards/96
6,Villager3,5,647,Hyosube,0.05%,https://yugioh-fm-db.pages.dev/cards/647
6,Villager3,6,430,Water Magician,0.05%,https://yugioh-fm-db.pages.dev/cards/430
6,Villager3,7,98,Clown Zombie,0.05%,https://yugioh-fm-db.pages.dev/cards/98
6,Villager3,8,550,Behegon,0.05%,https://yugioh-fm-db.pages.dev/cards/550
6,Villager3,9,445,Guardian of the Sea,0.05%,https://yugioh-fm-db.pages.dev/cards/445
6,Villager3,10,646,Gruesome Goo,0.98%,https://yugioh-fm-db.pages.dev/cards/646
6,Villager3,11,435,Water Girl,0.05%,https://yugioh-fm-db.pages.dev/cards/435
6,Villager3,12,559,Oscillo Hero,0.59%,https://yugioh-fm-db.pages.dev/cards/559
6,Villager3,13,4,Baby Dragon,0.88%,https://yugioh-fm-db.pages.dev/cards/4
6,Villager3,14,30,Zombie Warrior,0.20%,https://yugioh-fm-db.pages.dev/cards/30
6,Villager3,15,47,Torike,0.98%,https://yugioh-fm-db.pages.dev/cards/47
6,Villager3,16,59,Mammoth Graveyard,0.49%,https://yugioh-fm-db.pages.dev/cards/59
6,Villager3,17,61,Wolf,0.49%,https://yugioh-fm-db.pages.dev/cards/61
6,Villager3,18,65,Silver Fang,0.49%,https://yugioh-fm-db.pages.dev/cards/65
6,Villager3,19,132,The 13th Grave,0.20%,https://yugioh-fm-db.pages.dev/cards/132
6,Villager3,20,169,Dark King of the Abyss,0.49%,https://yugioh-fm-db.pages.dev/cards/169
6,Villager3,21,241,Dark Assailant,0.05%,https://yugioh-fm-db.pages.dev/cards/241
